Datetime,Water Level (m)
2024-03-14 06:00:00,0.5411656
2024-03-14 07:00:00,0.38639158
2024-03-14 08:00:00,0.08163618
2024-03-14 09:00:00,-0.2914551
2024-03-14 10:00:00,-0.6504302
2024-03-14 11:00:00,-0.8906192
2024-03-14 12:00:00,-0.9484574
2024-03-14 13:00:00,-0.8094686
2024-03-14 14:00:00,-0.5122314
2024-03-14 15:00:00,-0.15159339
2024-03-14 16:00:00,0.15810932
2024-03-14 17:00:00,0.34295908
2024-03-14 18:00:00,0.36010736
2024-03-14 19:00:00,0.19401926
2024-03-14 20:00:00,-0.08989017
2024-03-14 21:00:00,-0.4388295
2024-03-14 22:00:00,-0.77773976
2024-03-14 23:00:00,-1.0096964
2024-03-15 00:00:00,-1.0872676
2024-03-15 01:00:00,-0.97005475
2024-03-15 02:00:00,-0.7107055
2024-03-15 03:00:00,-0.34728
2024-03-15 04:00:00,0.026375508
2024-03-15 05:00:00,0.2983885
2024-03-15 06:00:00,0.419596
2024-03-15 07:00:00,0.3891562
2024-03-15 08:00:00,0.20559542
2024-03-15 09:00:00,-0.065219186
2024-03-15 10:00:00,-0.37113705
2024-03-15 11:00:00,-0.63966656
2024-03-15 12:00:00,-0.78135115
2024-03-15 13:00:00,-0.7939025
2024-03-15 14:00:00,-0.6551771
2024-03-15 15:00:00,-0.4160259
2024-03-15 16:00:00,-0.16923028
2024-03-15 17:00:00,0.045941275
2024-03-15 18:00:00,0.1489911
2024-03-15 19:00:00,0.107065365
2024-03-15 20:00:00,-0.04142201
2024-03-15 21:00:00,-0.27743235
2024-03-15 22:00:00,-0.55205303
2024-03-15 23:00:00,-0.790754
2024-03-16 00:00:00,-0.92457354
2024-03-16 01:00:00,-0.9290274
2024-03-16 02:00:00,-0.79999685
2024-03-16 03:00:00,-0.5675944
2024-03-16 04:00:00,-0.27792168
2024-03-16 05:00:00,-0.011635378
2024-03-16 06:00:00,0.17057018
2024-03-16 07:00:00,0.24917233
2024-03-16 08:00:00,0.21403414
2024-03-16 09:00:00,0.07845201
2024-03-16 10:00:00,-0.12412975
2024-03-16 11:00:00,-0.3350029
2024-03-16 12:00:00,-0.5227324
2024-03-16 13:00:00,-0.6044812
2024-03-16 14:00:00,-0.59784955
2024-03-16 15:00:00,-0.50829154
2024-03-16 16:00:00,-0.36140862
2024-03-16 17:00:00,-0.20642513
2024-03-16 18:00:00,-0.09845306
2024-03-16 19:00:00,-0.06299135
2024-03-16 20:00:00,-0.094313525
2024-03-16 21:00:00,-0.20335706
2024-03-16 22:00:00,-0.37007254
2024-03-16 23:00:00,-0.5487681
2024-03-17 00:00:00,-0.6969414
2024-03-17 01:00:00,-0.77353287
2024-03-17 02:00:00,-0.7615174
2024-03-17 03:00:00,-0.6530848
2024-03-17 04:00:00,-0.4878723
2024-03-17 05:00:00,-0.28645548
2024-03-17 06:00:00,-0.104265526
2024-03-17 07:00:00,0.024875278
2024-03-17 08:00:00,0.08359158
2024-03-17 09:00:00,0.07913738
2024-03-17 10:00:00,0.0011455583
2024-03-17 11:00:00,-0.11691744
2024-03-17 12:00:00,-0.2762381
2024-03-17 13:00:00,-0.41348565
2024-03-17 14:00:00,-0.49605158
2024-03-17 15:00:00,-0.54567987
2024-03-17 16:00:00,-0.51384526
2024-03-17 17:00:00,-0.4459071
2024-03-17 18:00:00,-0.34589335
2024-03-17 19:00:00,-0.27989858
2024-03-17 20:00:00,-0.24567136
2024-03-17 21:00:00,-0.24878205
2024-03-17 22:00:00,-0.29447925
2024-03-17 23:00:00,-0.37129423
2024-03-18 00:00:00,-0.4650528
2024-03-18 01:00:00,-0.5508279
2024-03-18 02:00:00,-0.60699123
2024-03-18 03:00:00,-0.6159005
2024-03-18 04:00:00,-0.57048947
2024-03-18 05:00:00,-0.47502056
2024-03-18 06:00:00,-0.33656654
2024-03-18 07:00:00,-0.19296156
2024-03-18 08:00:00,-0.06323014
2024-03-18 09:00:00,0.024272323
2024-03-18 10:00:00,0.06621848
2024-03-18 11:00:00,0.023050163
2024-03-18 12:00:00,-0.056489963
2024-03-18 13:00:00,-0.16081806
2024-03-18 14:00:00,-0.29167742
2024-03-18 15:00:00,-0.3982902
2024-03-18 16:00:00,-0.48623478
2024-03-18 17:00:00,-0.5233248
2024-03-18 18:00:00,-0.50640696
2024-03-18 19:00:00,-0.45684624
2024-03-18 20:00:00,-0.38978624
2024-03-18 21:00:00,-0.3288795
2024-03-18 22:00:00,-0.28514692
2024-03-18 23:00:00,-0.2637837
2024-03-19 00:00:00,-0.28826472
2024-03-19 01:00:00,-0.33996493
2024-03-19 02:00:00,-0.42025897
2024-03-19 03:00:00,-0.49779192
2024-03-19 04:00:00,-0.5545495
2024-03-19 05:00:00,-0.5702076
2024-03-19 06:00:00,-0.52671605
2024-03-19 07:00:00,-0.41626635
2024-03-19 08:00:00,-0.2796501
2024-03-19 09:00:00,-0.13030304
2024-03-19 10:00:00,0.008766661
2024-03-19 11:00:00,0.0985945
2024-03-19 12:00:00,0.07744272
2024-03-19 13:00:00,0.022000723
2024-03-19 14:00:00,-0.08274634
2024-03-19 15:00:00,-0.23468722
2024-03-19 16:00:00,-0.39420962
2024-03-19 17:00:00,-0.54080856
2024-03-19 18:00:00,-0.621921
2024-03-19 19:00:00,-0.63457423
2024-03-19 20:00:00,-0.57302475
2024-03-19 21:00:00,-0.47284642
2024-03-19 22:00:00,-0.340056
2024-03-19 23:00:00,-0.24634126
2024-03-20 00:00:00,-0.18281218
2024-03-20 01:00:00,-0.19039133
2024-03-20 02:00:00,-0.2575649
2024-03-20 03:00:00,-0.38371783
2024-03-20 04:00:00,-0.49331734
2024-03-20 05:00:00,-0.60099435
2024-03-20 06:00:00,-0.6430311
